Income_level,Single_no_children,Married_no_children,Single_one_child,Married_one_child,Single_two_children,Married_two_children,Single_three_children,Married_three_children
9836,438.651,529.38,3344.24,3344.24,3934.4,3934.4,4426.2,4426.2
9837,438.5745,529.38,3344.58,3344.58,3934.8,3934.8,4426.65,4426.65
9838,438.498,529.38,3344.92,3344.92,3935.2,3935.2,4427.1,4427.1
9839,438.4215,529.38,3345.26,3345.26,3935.6,3935.6,4427.55,4427.55
9840,438.345,529.38,3345.6,3345.6,3936,3936,4428,4428
9841,438.2685,529.38,3345.94,3345.94,3936.4,3936.4,4428.45,4428.45
9842,438.192,529.38,3346.28,3346.28,3936.8,3936.8,4428.9,4428.9
9843,438.1155,529.38,3346.62,3346.62,3937.2,3937.2,4429.35,4429.35
9844,438.039,529.38,3346.96,3346.96,3937.6,3937.6,4429.8,4429.8
9845,437.9625,529.38,3347.3,3347.3,3938,3938,4430.25,4430.25
9846,437.886,529.38,3347.64,3347.64,3938.4,3938.4,4430.7,4430.7
9847,437.8095,529.38,3347.98,3347.98,3938.8,3938.8,4431.15,4431.15
9848,437.733,529.38,3348.32,3348.32,3939.2,3939.2,4431.6,4431.6
9849,437.6565,529.38,3348.66,3348.66,3939.6,3939.6,4432.05,4432.05
9850,437.58,529.38,3349,3349,3940,3940,4432.5,4432.5
9851,437.5035,529.38,3349.34,3349.34,3940.4,3940.4,4432.95,4432.95
9852,437.427,529.38,3349.68,3349.68,3940.8,3940.8,4433.4,4433.4
9853,437.3505,529.38,3350.02,3350.02,3941.2,3941.2,4433.85,4433.85
9854,437.274,529.38,3350.36,3350.36,3941.6,3941.6,4434.3,4434.3
9855,437.1975,529.38,3350.7,3350.7,3942,3942,4434.75,4434.75
9856,437.121,529.38,3351.04,3351.04,3942.4,3942.4,4435.2,4435.2
9857,437.0445,529.38,3351.38,3351.38,3942.8,3942.8,4435.65,4435.65
9858,436.968,529.38,3351.72,3351.72,3943.2,3943.2,4436.1,4436.1
9859,436.8915,529.38,3352.06,3352.06,3943.6,3943.6,4436.55,4436.55
9860,436.815,529.38,3352.4,3352.4,3944,3944,4437,4437
9861,436.7385,529.38,3352.74,3352.74,3944.4,3944.4,4437.45,4437.45
9862,436.662,529.38,3353.08,3353.08,3944.8,3944.8,4437.9,4437.9
9863,436.5855,529.38,3353.42,3353.42,3945.2,3945.2,4438.35,4438.35
9864,436.509,529.38,3353.76,3353.76,3945.6,3945.6,4438.8,4438.8
9865,436.4325,529.38,3354.1,3354.1,3946,3946,4439.25,4439.25
9866,436.356,529.38,3354.44,3354.44,3946.4,3946.4,4439.7,4439.7
9867,436.2795,529.38,3354.78,3354.78,3946.8,3946.8,4440.15,4440.15
9868,436.203,529.38,3355.12,3355.12,3947.2,3947.2,4440.6,4440.6
9869,436.1265,529.38,3355.46,3355.46,3947.6,3947.6,4441.05,4441.05
9870,436.05,529.38,3355.8,3355.8,3948,3948,4441.5,4441.5
9871,435.9735,529.38,3356.14,3356.14,3948.4,3948.4,4441.95,4441.95
9872,435.897,529.38,3356.48,3356.48,3948.8,3948.8,4442.4,4442.4
9873,435.8205,529.38,3356.82,3356.82,3949.2,3949.2,4442.85,4442.85
9874,435.744,529.38,3357.16,3357.16,3949.6,3949.6,4443.3,4443.3
9875,435.6675,529.38,3357.5,3357.5,3950,3950,4443.75,4443.75
9876,435.591,529.38,3357.84,3357.84,3950.4,3950.4,4444.2,4444.2
9877,435.5145,529.38,3358.18,3358.18,3950.8,3950.8,4444.65,4444.65
9878,435.438,529.38,3358.52,3358.52,3951.2,3951.2,4445.1,4445.1
9879,435.3615,529.38,3358.86,3358.86,3951.6,3951.6,4445.55,4445.55
9880,435.285,529.38,3359.2,3359.2,3952,3952,4446,4446
9881,435.2085,529.38,3359.54,3359.54,3952.4,3952.4,4446.45,4446.45
9882,435.132,529.38,3359.88,3359.88,3952.8,3952.8,4446.9,4446.9
9883,435.0555,529.38,3360.22,3360.22,3953.2,3953.2,4447.35,4447.35
9884,434.979,529.38,3360.56,3360.56,3953.6,3953.6,4447.8,4447.8
9885,434.9025,529.38,3360.9,3360.9,3954,3954,4448.25,4448.25
9886,434.826,529.38,3361.24,3361.24,3954.4,3954.4,4448.7,4448.7
9887,434.7495,529.38,3361.58,3361.58,3954.8,3954.8,4449.15,4449.15
9888,434.673,529.38,3361.92,3361.92,3955.2,3955.2,4449.6,4449.6
9889,434.5965,529.38,3362.26,3362.26,3955.6,3955.6,4450.05,4450.05
9890,434.52,529.38,3362.6,3362.6,3956,3956,4450.5,4450.5
9891,434.4435,529.38,3362.94,3362.94,3956.4,3956.4,4450.95,4450.95
9892,434.367,529.38,3363.28,3363.28,3956.8,3956.8,4451.4,4451.4
9893,434.2905,529.38,3363.62,3363.62,3957.2,3957.2,4451.85,4451.85
9894,434.214,529.38,3363.96,3363.96,3957.6,3957.6,4452.3,4452.3
9895,434.1375,529.38,3364.3,3364.3,3958,3958,4452.75,4452.75
9896,434.061,529.38,3364.64,3364.64,3958.4,3958.4,4453.2,4453.2
9897,433.9845,529.38,3364.98,3364.98,3958.8,3958.8,4453.65,4453.65
9898,433.908,529.38,3365.32,3365.32,3959.2,3959.2,4454.1,4454.1
9899,433.8315,529.38,3365.66,3365.66,3959.6,3959.6,4454.55,4454.55
9900,433.755,529.38,3366,3366,3960,3960,4455,4455
9901,433.6785,529.38,3366.34,3366.34,3960.4,3960.4,4455.45,4455.45
9902,433.602,529.38,3366.68,3366.68,3960.8,3960.8,4455.9,4455.9
9903,433.5255,529.38,3367.02,3367.02,3961.2,3961.2,4456.35,4456.35
9904,433.449,529.38,3367.36,3367.36,3961.6,3961.6,4456.8,4456.8
9905,433.3725,529.38,3367.7,3367.7,3962,3962,4457.25,4457.25
9906,433.296,529.38,3368.04,3368.04,3962.4,3962.4,4457.7,4457.7
9907,433.2195,529.38,3368.38,3368.38,3962.8,3962.8,4458.15,4458.15
9908,433.143,529.38,3368.72,3368.72,3963.2,3963.2,4458.6,4458.6
9909,433.0665,529.38,3369.06,3369.06,3963.6,3963.6,4459.05,4459.05
9910,432.99,529.38,3369.4,3369.4,3964,3964,4459.5,4459.5
9911,432.9135,529.38,3369.74,3369.74,3964.4,3964.4,4459.95,4459.95
9912,432.837,529.38,3370.08,3370.08,3964.8,3964.8,4460.4,4460.4
9913,432.7605,529.38,3370.42,3370.42,3965.2,3965.2,4460.85,4460.85
9914,432.684,529.38,3370.76,3370.76,3965.6,3965.6,4461.3,4461.3
9915,432.6075,529.38,3371.1,3371.1,3966,3966,4461.75,4461.75
9916,432.531,529.38,3371.44,3371.44,3966.4,3966.4,4462.2,4462.2
9917,432.4545,529.38,3371.78,3371.78,3966.8,3966.8,4462.65,4462.65
9918,432.378,529.38,3372.12,3372.12,3967.2,3967.2,4463.1,4463.1
9919,432.3015,529.38,3372.46,3372.46,3967.6,3967.6,4463.55,4463.55
9920,432.225,529.38,3372.8,3372.8,3968,3968,4464,4464
9921,432.1485,529.38,3373.14,3373.14,3968.4,3968.4,4464.45,4464.45
9922,432.072,529.38,3373.48,3373.48,3968.8,3968.8,4464.9,4464.9
9923,431.9955,529.38,3373.82,3373.82,3969.2,3969.2,4465.35,4465.35
9924,431.919,529.38,3374.16,3374.16,3969.6,3969.6,4465.8,4465.8
9925,431.8425,529.38,3374.5,3374.5,3970,3970,4466.25,4466.25
9926,431.766,529.38,3374.84,3374.84,3970.4,3970.4,4466.7,4466.7
9927,431.6895,529.38,3375.18,3375.18,3970.8,3970.8,4467.15,4467.15
9928,431.613,529.38,3375.52,3375.52,3971.2,3971.2,4467.6,4467.6
9929,431.5365,529.38,3375.86,3375.86,3971.6,3971.6,4468.05,4468.05
9930,431.46,529.38,3376.2,3376.2,3972,3972,4468.5,4468.5
9931,431.3835,529.38,3376.54,3376.54,3972.4,3972.4,4468.95,4468.95
9932,431.307,529.38,3376.88,3376.88,3972.8,3972.8,4469.4,4469.4
9933,431.2305,529.38,3377.22,3377.22,3973.2,3973.2,4469.85,4469.85
9934,431.154,529.38,3377.56,3377.56,3973.6,3973.6,4470.3,4470.3
9935,431.0775,529.38,3377.9,3377.9,3974,3974,4470.75,4470.75
9936,431.001,529.38,3378.24,3378.24,3974.4,3974.4,4471.2,4471.2
9937,430.9245,529.38,3378.58,3378.58,3974.8,3974.8,4471.65,4471.65
9938,430.848,529.38,3378.92,3378.92,3975.2,3975.2,4472.1,4472.1
9939,430.7715,529.38,3379.26,3379.26,3975.6,3975.6,4472.55,4472.55
9940,430.695,529.38,3379.6,3379.6,3976,3976,4473,4473
9941,430.6185,529.38,3379.94,3379.94,3976.4,3976.4,4473.45,4473.45
9942,430.542,529.38,3380.28,3380.28,3976.8,3976.8,4473.9,4473.9
